domain,category_short,category_long,category_multiline,color_text,color_fill
knowledge,info,,,,
knowledge,nart,,,,
knowledge,synon,,,,
knowledge,waisgen,,,,
knowledge,waisvoc,,,,
language,bnt,Boston Naming Test,Boston\nNaming\nTest,#030542,#FFFFFF
language,lang,,,,
fluency,categ,,,,
fluency,fluency,,,,
 memory,bst,,,,
 memory,drecall,,,,
 memory,digitsf,,,,
 memory,figmem,,,,
 memory,logmem,,,,
 memory,wldelay,,,,
 memory,wlimmed,,,,
 memory,wlrecog,,,,
 memory,mirrecall,,,,
 memory,prose,,,,
workmemory,exec,,,,
workmemory,trailsb,,,,
vsreasoning,block,,,,
vsreasoning,figlog,,,,
vsreasoning,matrix,,,,
vsreasoning,rotat,,,,
vsreasoning,spatab,,,,
vsreasoning,waispic,,,,
vsreasoning,line,,,,
vsreasoning,vsreas,,,,
vsreasoning,reas,,,,
speed,symbol,,,,
speed,figid,,,,
speed,numcom,,,,
speed,patcom,,,,
speed,psif,,,,
speed,speed,,,,
mental,3ms,,,,
mental,mmse,,,,
mental,clock,,,,
mental,serial7,,,,
mental,tics,,,,
mental,mental,,,,
